player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Ambati Rayudu,16,16,2,602,100*,43.00,402,149.75,1,3,53,34
Shane Watson,15,15,1,555,117*,39.64,359,154.59,2,2,44,35
MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,24,30
Suresh Raina,15,15,3,445,75*,37.08,336,132.44,0,4,46,12
Faf du Plessis,6,6,1,162,67*,32.40,129,125.58,0,1,17,6
Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10
Sam Billings,10,8,0,108,56,13.50,78,138.46,0,1,8,5
Ravindra Jadeja,16,10,5,89,27*,17.80,74,120.27,0,0,3,4
Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4
Harbhajan Singh,13,3,0,29,19,9.66,36,80.55,0,0,3,1
Kedar Jadhav,1,1,1,24,24*,0.00,22,109.09,0,0,1,2
Shardul Thakur,13,1,1,15,15*,0.00,5,300.00,0,0,3,0
Murali Vijay,1,1,0,12,12,12.00,10,120.00,0,0,0,1
Dhruv Shorey,1,1,0,8,8,8.00,9,88.88,0,0,0,1
Imran Tahir,6,1,1,2,2*,0.00,2,100.00,0,0,0,0
Mark Wood,1,1,0,1,1,1.00,3,33.33,0,0,0,0
