player_name,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
Sanju Samson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
Jos Buttler,13,12,2,328,70*,32.80,227,144.49,0,2,27,16
Steve Smith,14,14,2,311,69,25.91,237,131.22,0,3,32,9
Ben Stokes,8,8,1,285,107*,40.71,200,142.50,1,1,36,7
Rahul Tewatia,14,11,5,255,53,42.50,183,139.34,0,1,13,17
Robin Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,19,7
Jofra Archer,14,10,4,113,27*,18.83,63,179.36,0,0,5,10
Riyan Parag,12,8,1,86,42*,12.28,77,111.68,0,0,6,3
Tom Curran,5,4,3,83,54*,83.00,62,133.87,0,1,5,3
Mahipal Lomror,3,3,0,59,47,19.66,54,109.25,0,0,2,3
Yashasvi Jaiswal,3,3,0,40,34,13.33,44,90.90,0,0,2,2
Shreyas Gopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0
Ankit Rajpoot,6,2,1,9,7*,9.00,10,90.00,0,0,0,1
Jaydev Unadkat,7,1,0,9,9,9.00,13,69.23,0,0,0,0
Andrew Tye,1,1,0,6,6,6.00,6,100.00,0,0,0,1
Kartik Tyagi,10,3,2,4,2*,4.00,6,66.66,0,0,0,0
Varun Aaron,3,2,1,1,1,1.00,10,10.00,0,0,0,0
